Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,W,W40X278,–,–,–,–,–,–,82.3,40.2,1.03,–,12,1.81,–,–,1  3/4 ,278,3.31,33.3,–,–,–,20500,1190,1020,15.8,–,–,521,140,87.1,2.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,192000,–,–,–,–,115,–,622,–,–,190,587,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  1/8 ,12,1,  1/2 ,1 13/16,2.99,3  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.13,38.4,112,124
14th,–,W,W40X264,–,–,–,–,–,–,77.4,40,0.96,–,11.9,1.73,–,–,1 11/16,264,3.45,35.6,–,–,–,19400,1130,971,15.8,–,–,493,132,82.6,2.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,56.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,181000,–,–,–,–,114,–,589,–,–,182,555,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40,11  7/8 , 15/16,  1/2 ,1  3/4 ,2.91,3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.12,38.3,112,124
14th,–,W,W40X235,–,–,–,–,–,–,69.1,39.7,0.83,–,11.9,1.58,–,–,1  5/8 ,235,3.77,41.2,–,–,–,17400,1010,875,15.9,–,–,444,118,74.6,2.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,161000,–,–,–,–,113,–,530,–,–,166,495,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  3/4 ,11  7/8 , 13/16,  7/16,1  9/16,2.76,2  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.11,38.1,111,123
14th,–,W,W40X211,–,–,–,–,–,–,62.1,39.4,0.75,–,11.8,1.42,–,–,1  9/16,211,4.17,45.6,–,–,–,15500,906,786,15.8,–,–,390,105,66.1,2.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,141000,–,–,–,–,112,–,468,–,–,148,442,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  3/8 ,11  3/4 ,  3/4 ,  3/8 ,1  7/16,2.6,2 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.07,38,110,122
14th,–,W,W40X183,–,–,–,–,–,–,53.3,39,0.65,–,11.8,1.2,–,–,1  9/16,183,4.92,52.6,–,–,–,13200,774,675,15.7,–,–,331,88.3,56,2.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,118000,–,–,–,–,112,–,395,–,–,126,376,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39,11  3/4 ,  5/8 ,  5/16,1  3/16,2.38,2  1/2 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.04,37.8,110,122
14th,–,W,W40X167,–,–,–,–,–,–,49.3,38.6,0.65,–,11.8,1.03,–,–,1  9/16,167,5.76,52.6,–,–,–,11600,693,600,15.3,–,–,283,76,47.9,2.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,99700,–,–,–,–,111,–,336,–,–,107,336,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38  5/8 ,11  3/4 ,  5/8 ,  5/16,1,2.21,2  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.98,37.6,109,121
14th,–,W,W40X149,–,–,–,–,–,–,43.8,38.2,0.63,–,11.8,0.83,–,–,1  1/2 ,149,7.11,54.3,–,–,–,9800,598,513,15,–,–,229,62.2,38.8,2.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80000,–,–,–,–,110,–,270,–,–,86.7,288,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38  1/4 ,11  3/4 ,  5/8 ,  5/16, 13/16,2.01,2  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.89,37.4,108,120
14th,–,W,W36X652,–,–,–,–,–,–,192,41.1,1.97,–,17.6,3.54,–,–,2  3/16,652,2.48,16.3,–,–,–,50600,2910,2460,16.2,–,–,3230,581,367,4.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,593,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1130000,–,–,–,–,165,–,2560,–,–,518,1450,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41,17  5/8 ,2,1,3  9/16,4.49,4 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.96,37.6,129,147
14th,–,W,W36X529,–,–,–,–,–,–,156,39.8,1.61,–,17.2,2.91,–,–,2,529,2.96,19.9,–,–,–,39600,2330,1990,16,–,–,2490,454,289,4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,327,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,846000,–,–,–,–,159,–,1990,–,–,419,1160,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  3/4 ,17  1/4 ,1  5/8 , 13/16,2 15/16,3.86,4  3/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.8,36.9,127,144
14th,–,W,W36X487,–,–,–,–,–,–,143,39.3,1.5,–,17.1,2.68,–,–,1  7/8 ,487,3.19,21.4,–,–,–,36000,2130,1830,15.8,–,–,2250,412,263,3.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,258,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,754000,–,–,–,–,157,–,1800,–,–,383,1060,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  3/8 ,17  1/8 ,1  1/2 ,  3/4 ,2 11/16,3.63,4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.74,36.6,125,142
14th,–,W,W36X441,–,–,–,–,–,–,130,38.9,1.36,–,17,2.44,–,–,1  7/8 ,441,3.48,23.6,–,–,–,32100,1910,1650,15.7,–,–,1990,368,235,3.92,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,194,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,661000,–,–,–,–,154,–,1600,–,–,347,950,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38  7/8 ,17,1  3/8 , 11/16,2  7/16,3.39,3  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.69,36.5,124,141
14th,–,W,W36X395,–,–,–,–,–,–,116,38.4,1.22,–,16.8,2.2,–,–,1 13/16,395,3.83,26.3,–,–,–,28500,1710,1490,15.7,–,–,1750,325,208,3.88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,142,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,575000,–,–,–,–,152,–,1410,–,–,311,847,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38  3/8 ,16  7/8 ,1  1/4 ,  5/8 ,2  3/16,3.15,3  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.61,36.2,123,140
14th,–,W,W36X361,–,–,–,–,–,–,106,38,1.12,–,16.7,2.01,–,–,1  3/4 ,361,4.16,28.6,–,–,–,25700,1550,1350,15.6,–,–,1570,293,188,3.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,509000,–,–,–,–,150,–,1270,–,–,282,767,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38,16  3/4 ,1  1/8 ,  9/16,2,2.96,3  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.58,36,122,139
