Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,2L,2L5X3X5/16X3/8LLBB,–,–,–,–,–,–,4.82,3,–,–,–,–,–,–,–,16.4,–,–,–,–,–,12.5,6.64,3.74,1.61,1.67,1.14,7.06,4.15,2.21,1.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,–,–,–,–,–,–,–,–,16,–,2.52,0.64,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L5X3X5/16X3/4LLBB,–,–,–,–,–,–,4.82,3,–,–,–,–,–,–,–,16.4,–,–,–,–,–,12.5,6.64,3.74,1.61,1.67,1.14,8.78,5.05,2.6,1.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,–,–,–,–,–,–,–,–,16,–,2.59,0.659,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L5X3X1/4LLBB,–,–,–,–,–,–,3.88,3,–,–,–,–,–,–,–,13.2,–,–,–,–,–,10.2,5.36,3.02,1.62,1.64,1.12,4.44,2.51,1.48,1.07,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,–,–,–,–,–,–,–,–,20,–,2.46,0.622,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L5X3X1/4X3/8LLBB,–,–,–,–,–,–,3.88,3,–,–,–,–,–,–,–,13.2,–,–,–,–,–,10.2,5.36,3.02,1.62,1.64,1.12,5.49,3.24,1.72,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,–,–,–,–,–,–,–,–,20,–,2.52,0.638,–,–,–,–,–,–,–,–,–,0.804,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L5X3X1/4X3/4LLBB,–,–,–,–,–,–,3.88,3,–,–,–,–,–,–,–,13.2,–,–,–,–,–,10.2,5.36,3.02,1.62,1.64,1.12,6.86,3.97,2.03,1.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,–,–,–,–,–,–,–,–,20,–,2.59,0.657,–,–,–,–,–,–,–,–,–,0.804,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X1/2LLBB,–,–,–,–,–,–,7,3.5,–,–,–,–,–,–,–,23.8,–,–,–,–,–,10.6,6.92,3.84,1.23,1.24,0.5,14.5,6.96,4.14,1.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,8,–,2.14,0.784,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X1/2X3/8LLBB,–,–,–,–,–,–,7,3.5,–,–,–,–,–,–,–,23.8,–,–,–,–,–,10.6,6.92,3.84,1.23,1.24,0.5,17.3,8.27,4.69,1.57,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,8,–,2.23,0.802,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X1/2X3/4LLBB,–,–,–,–,–,–,7,3.5,–,–,–,–,–,–,–,23.8,–,–,–,–,–,10.6,6.92,3.84,1.23,1.24,0.5,20.7,9.58,5.34,1.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,8,–,2.33,0.819,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X3/8LLBB,–,–,–,–,–,–,5.36,3.5,–,–,–,–,–,–,–,18.2,–,–,–,–,–,8.3,5.32,2.96,1.25,1.2,0.427,10.8,5.08,3.09,1.42,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,10.7,–,2.14,0.778,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X3/8X3/8LLBB,–,–,–,–,–,–,5.36,3.5,–,–,–,–,–,–,–,18.2,–,–,–,–,–,8.3,5.32,2.96,1.25,1.2,0.427,12.9,6.08,3.5,1.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,10.7,–,2.23,0.795,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X3/8X3/4LLBB,–,–,–,–,–,–,5.36,3.5,–,–,–,–,–,–,–,18.2,–,–,–,–,–,8.3,5.32,2.96,1.25,1.2,0.427,15.3,7.09,3.95,1.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,10.7,–,2.33,0.813,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X5/16LLBB,–,–,–,–,–,–,4.5,3.5,–,–,–,–,–,–,–,15.4,–,–,–,–,–,7.06,4.48,2.5,1.25,1.17,0.4,8.82,4.15,2.52,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,12.8,–,2.14,0.775,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X5/16X3/8LLBB,–,–,–,–,–,–,4.5,3.5,–,–,–,–,–,–,–,15.4,–,–,–,–,–,7.06,4.48,2.5,1.25,1.17,0.4,10.5,5,2.85,1.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,12.8,–,2.23,0.792,–,–,–,–,–,–,–,–,–,0.997,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X5/16X3/4LLBB,–,–,–,–,–,–,4.5,3.5,–,–,–,–,–,–,–,15.4,–,–,–,–,–,7.06,4.48,2.5,1.25,1.17,0.4,12.7,5.84,3.28,1.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,12.8,–,2.33,0.81,–,–,–,–,–,–,–,–,–,0.997,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X1/4LLBB,–,–,–,–,–,–,3.64,3.5,–,–,–,–,–,–,–,12.4,–,–,–,–,–,5.78,3.62,2.02,1.26,1.14,0.36,7.03,3.27,2.01,1.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,16,–,2.14,0.773,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X1/4X3/8LLBB,–,–,–,–,–,–,3.64,3.5,–,–,–,–,–,–,–,12.4,–,–,–,–,–,5.78,3.62,2.02,1.26,1.14,0.36,8.41,3.95,2.28,1.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,16,–,2.22,0.79,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3-1/2X1/4X3/4LLBB,–,–,–,–,–,–,3.64,3.5,–,–,–,–,–,–,–,12.4,–,–,–,–,–,5.78,3.62,2.02,1.26,1.14,0.36,10,4.63,2.58,1.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,16,–,2.32,0.807,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X5/8LLBB,–,–,–,–,–,–,7.98,3,–,–,–,–,–,–,–,27.2,–,–,–,–,–,12,8.16,4.56,1.23,1.37,0.808,11.7,6.92,3.9,1.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,6.4,–,2.02,0.728,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X5/8X3/8LLBB,–,–,–,–,–,–,7.98,3,–,–,–,–,–,–,–,27.2,–,–,–,–,–,12,8.16,4.56,1.23,1.37,0.808,14.5,8.41,4.55,1.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,6.4,–,2.11,0.75,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X5/8X3/4LLBB,–,–,–,–,–,–,7.98,3,–,–,–,–,–,–,–,27.2,–,–,–,–,–,12,8.16,4.56,1.23,1.37,0.808,18,9.91,5.33,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.625,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,6.4,–,2.21,0.773,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X1/2LLBB,–,–,–,–,–,–,6.5,3,–,–,–,–,–,–,–,22.2,–,–,–,–,–,10,6.72,3.74,1.24,1.32,0.75,9.2,5.34,3.07,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,8,–,2.02,0.721,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X1/2X3/8LLBB,–,–,–,–,–,–,6.5,3,–,–,–,–,–,–,–,22.2,–,–,–,–,–,10,6.72,3.74,1.24,1.32,0.75,11.3,6.56,3.55,1.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,8,–,2.11,0.743,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X1/2X3/4LLBB,–,–,–,–,–,–,6.5,3,–,–,–,–,–,–,–,22.2,–,–,–,–,–,10,6.72,3.74,1.24,1.32,0.75,14,7.78,4.15,1.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,8,–,2.2,0.765,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X3/8LLBB,–,–,–,–,–,–,4.98,3,–,–,–,–,–,–,–,17,–,–,–,–,–,7.88,5.2,2.88,1.26,1.27,0.68,6.82,3.86,2.27,1.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,10.7,–,2.03,0.715,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X3/8X3/8LLBB,–,–,–,–,–,–,4.98,3,–,–,–,–,–,–,–,17,–,–,–,–,–,7.88,5.2,2.88,1.26,1.27,0.68,8.42,4.79,2.64,1.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,10.7,–,2.11,0.736,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X3/8X3/4LLBB,–,–,–,–,–,–,4.98,3,–,–,–,–,–,–,–,17,–,–,–,–,–,7.88,5.2,2.88,1.26,1.27,0.68,10.3,5.73,3.05,1.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,10.7,–,2.2,0.757,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X5/16LLBB,–,–,–,–,–,–,4.18,3,–,–,–,–,–,–,–,14.4,–,–,–,–,–,6.72,4.38,2.44,1.27,1.25,0.656,5.62,3.14,1.87,1.16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,12.8,–,2.03,0.712,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X5/16X3/8LLBB,–,–,–,–,–,–,4.18,3,–,–,–,–,–,–,–,14.4,–,–,–,–,–,6.72,4.38,2.44,1.27,1.25,0.656,6.96,3.92,2.18,1.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,12.8,–,2.11,0.733,–,–,–,–,–,–,–,–,–,0.997,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X5/16X3/4LLBB,–,–,–,–,–,–,4.18,3,–,–,–,–,–,–,–,14.4,–,–,–,–,–,6.72,4.38,2.44,1.27,1.25,0.656,8.55,4.7,2.53,1.43,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,12.8,–,2.2,0.754,–,–,–,–,–,–,–,–,–,0.997,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X1/4LLBB,–,–,–,–,–,–,3.38,3,–,–,–,–,–,–,–,11.6,–,–,–,–,–,5.5,3.54,1.98,1.27,1.22,0.62,4.47,2.45,1.49,1.15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,16,–,2.03,0.71,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X1/4X3/8LLBB,–,–,–,–,–,–,3.38,3,–,–,–,–,–,–,–,11.6,–,–,–,–,–,5.5,3.54,1.98,1.27,1.22,0.62,5.45,3.08,1.71,1.27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,16,–,2.11,0.73,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L4X3X1/4X3/4LLBB,–,–,–,–,–,–,3.38,3,–,–,–,–,–,–,–,11.6,–,–,–,–,–,5.5,3.54,1.98,1.27,1.22,0.62,6.72,3.72,1.99,1.41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,–,–,–,–,–,–,–,–,16,–,2.2,0.751,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X1/2LLBB,–,–,–,–,–,–,6.04,3,–,–,–,–,–,–,–,20.4,–,–,–,–,–,6.9,5.22,2.9,1.07,1.12,0.48,9.14,5.25,3.05,1.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7,–,1.85,0.78,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X1/2X3/8LLBB,–,–,–,–,–,–,6.04,3,–,–,–,–,–,–,–,20.4,–,–,–,–,–,6.9,5.22,2.9,1.07,1.12,0.48,11.3,6.38,3.55,1.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7,–,1.94,0.801,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X1/2X3/4LLBB,–,–,–,–,–,–,6.04,3,–,–,–,–,–,–,–,20.4,–,–,–,–,–,6.9,5.22,2.9,1.07,1.12,0.48,14,7.51,4.15,1.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7,–,2.05,0.822,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X7/16LLBB,–,–,–,–,–,–,5.34,3,–,–,–,–,–,–,–,18.2,–,–,–,–,–,6.2,4.64,2.58,1.08,1.09,0.449,7.95,4.52,2.65,1.22,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7.99,–,1.85,0.776,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X7/16X3/8LLBB,–,–,–,–,–,–,5.34,3,–,–,–,–,–,–,–,18.2,–,–,–,–,–,6.2,4.64,2.58,1.08,1.09,0.449,9.88,5.52,3.1,1.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7.99,–,1.94,0.797,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X7/16X3/4LLBB,–,–,–,–,–,–,5.34,3,–,–,–,–,–,–,–,18.2,–,–,–,–,–,6.2,4.64,2.58,1.08,1.09,0.449,12.2,6.52,3.61,1.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7.99,–,2.05,0.818,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X3/8LLBB,–,–,–,–,–,–,4.64,3,–,–,–,–,–,–,–,15.8,–,–,–,–,–,5.46,4.06,2.24,1.09,1.07,0.407,6.79,3.82,2.26,1.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,9.33,–,1.85,0.773,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X3/8X3/8LLBB,–,–,–,–,–,–,4.64,3,–,–,–,–,–,–,–,15.8,–,–,–,–,–,5.46,4.06,2.24,1.09,1.07,0.407,8.46,4.69,2.65,1.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,9.33,–,1.94,0.794,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X3/8X3/4LLBB,–,–,–,–,–,–,4.64,3,–,–,–,–,–,–,–,15.8,–,–,–,–,–,5.46,4.06,2.24,1.09,1.07,0.407,10.3,5.56,3.05,1.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,9.33,–,2.05,0.814,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
